HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
Update to Spring Platform 1.0.1 ,XD-1892,
Update to Spring Batch 3.0.1 snapshots ,XD-1893,
"Create documentation section on best practices This should include some guidance on setting rabbit message bus paramters relating to prefetch and concurrency. It should also discuss the bypass functionality or reference another section that covers it. We should probably include how to scale out http sources, e.g. the need to use a load balancer.",XD-1894,
Use Boot plugin and IO Platform for versions where possible ,XD-1895,
Investigate why netty 3.7 is in xd lib and not 3.6.6 ,XD-1896,
"Improve Logging and mention affected Module When deploying a definition with a container match criteria specified, and no container could be selected the logging is ambiguous and should mention the affected module 11 58 24,089 WARN No currently available containers match criteria somecriteria ",XD-1905,
"Handle deploying state at the Admin UI When the job is in deploying state, until we decide whether the job is actually deployed or there is no way to know if it is fine to launch schedule though the launching requests are going to go to the job launch request queue . We could either disable both until the state changes from deploying ?",XD-1907,
Remove Retry from TCP Sink Now that the bus supports retry it is no longer necessary to have the retry advice in the TCP Sink.,XD-1908,
Update to Spring Shell 1.0 RC4 ,XD-1909,
"Move Redis connection metadata logging into the code closest to establishing that connection XD 106 included detailed logging about the Redis metadata within the but it seems as though that info could be logged somewhere closer to the establishment of a Redis connection for the XD runtime and could be logged even if this listener, whose main role is to capture Container related events, is not enabled .",XD-191,
Improve getting started docs for installation ,XD-1910,
Add Hadoop 2.4.x as an option Hadoop 2.4.1 is now a stable release and we should add support for running against it,XD-1915,
"Update getting started documentation to use xd singlenode start script. With the new option of starting without requiring redis, the getting started documentation should reflect this easier way to start processing data.",XD-192,
Update for new Release ,XD-1920,
"Find logging configuration relative to environment Previously, the scripts all looked for the logging configuration in XD HOME config or XD HOME config . This caused issues because it meant that if you moved all of the configuration and overrode or the logging configuration changes would not be found in the new location. This change updates the scripts to look for logging configuration in or ",XD-1927,
Jolokia endpoints returning 404 for singlenode in M7 returned a value..... on master it returns 404 error... ,XD-1929,
"Need more unique resource locations for XD internal configuration Currently internal config files are in META INF spring with fairly generic names. To avoid potential collisions if users add their own configuration in the classpath, we should have a more unique location, e.g. ",XD-193,
Verify platform compatibility versions with the XD dependencies We need to make sure there is no dependency with build.gradle using spring IO platform dependencies. is one such scenario where jolokia dependency went missing.,XD-1931,
Remove jars from .zip packaging whose license prevents distribution The work here is doing the research.... should be removed as it is GPL GPL postgresql is BSD so that is ok another issue will handle license file inclusion.,XD-1936,
Add licence files in distribution for 3rd party dependencies. postgresql is BSD ,XD-1937,
Update to Spring Batch Admin 1.3.0.RC1 ,XD-1939,
"Users . and xml files in the modules dir, though that brings up the issue of classpath isolation.",XD-194,
Clean s from the lib directory in spring xd yarn zip distribution,XD-1940,
Use guava 15.0 for jclouds is not compatible with versions of guava higher than 15.,XD-1942,
Add stream state tests Test to verify stream state is correct after starting stopping containers.,XD-1946,
Fix support for See PR ,XD-1947,
Build should use Spring Boot plugin version 1.1.4 The platform uses Boot version 1.1.4 so the plugin version used in build.gradle should match that.,XD-1948,
Ensure DSM matrix is diagonal ,XD-1949,
The no longer works. Change the object.,XD-195,
Anchor the footer at the bottom of page ,XD-1951,
Automate execution of gradle pushGeneratedDocs Should be part of the daily build. One easy way to do it would be to use the hardcoded authentication scheme as described here bamboo should mask a property whose name contains password We may want to create a dedicated github user though,XD-1952,
Remove copyright licence info in UI screens ,XD-1955,
replace the hacky parser with a good one Replace the existing DSL parser that uses string indexing with a more robust one based on a derivative of SpEL. This will provide a stable base on which to quickly iterate on syntax. ,XD-196,
Module info for jdbc sink and jobs are unreadable The module info command renders text that is pretty much unreadable on a reasonably sized screen. See attached screen shot. Also all the jdbc pool settings are mixed in with module settings making for a confusing list of options. What the heck does fairQueue have to do with filejdbc jobs?,XD-1961,
"Servers not finding logging file 12 30 43,930 WARN main Logging environment value cannot be opened and will be ignored There are extra slashes in there.... probably due to some recent changes related to xd config location in the scripts.",XD-1964,
StepExecutionInfo is missing from admin classpath in distributed mode. Following exception is thrown SEVERE Servlet.service for servlet in context with path threw exception Handler processing failed; nested exception is with root cause at at at Method at at at at at at at at Method at at at at ,XD-1965,
Dependendcies s i the lib directory. That is no longer working and all distros seem to contain mostly the same version hadoop 2.2.0 dependencies This is the list for phd1 now ,XD-1967,
"Create a scriptProcessor module that allows the execution of a groovy potentially jruby,jython based SI Service Activator This will enable arbitrary processing logic to be used in a processing step. See ... script script lang groovy would be the essence of the module. Probably lang gets detected from the file extension.",XD-197,
Name the TaskExecutors in the RabbitMessageBus The Rabbit by default. This makes it difficult to debug when multiple modules are in the same container because all threads are named .,XD-1970,
Move button to top right The button is at lower left of the page which requires scrolling all the way to the bottom could we move it to top right? Would make clicking back and forth for job executions much easier.,XD-1974,
SSL Support For RabbitMQ Bus and Modules ,XD-1978,
"Automatically align version for tomcat components from platform introduces which is not covered by platform. Yet, we should lookup the version to use from other tomcat artifacts, using some gradle magic",XD-1981,
Add Https Support to the HTTP Source ,XD-1982,
"Avoid all modules deploying to the first container instance upon system restart A possible approach is to set a configurable wait period when the first container arrives. If another container arrives during the wait period, reset the clock. When the wait period expires, start deploying modules. ",XD-1984,
Add Docs or Reference For Standard Shell Commands e.g. script It is documented here But maybe it should also be at the top of the appendix? ,XD-1990,
"Error message about memory leak when ctrl c xd container and xd admin e.g., ^C09 42 00,882 ERROR The web application appears to have started a thread named but has failed to stop it. This is very likely to create a memory leak. The thread name may be different...",XD-1991,
"Add comprehensive tests for The were created to satisfy XD 1462, but currently they only have a couple tests to validate the time field processing. More comprehensive tests need to be added including the testing of the Redis based implementation in addition to in memory . For more info, see the comment here ",XD-1997,
Remove s are incorrectly classified as compile time deps in hadoop vs. testCompile. ,XD-1998,
Remove unused post module references ,XD-1999,
HDFS Core writing helper classes Simple file writer that has existed in the spring hadoop samples.,XD-2,
DIRT Runtime that deploys an application context across multiple nodes using redis. ,XD-20,
Rename packages that is applicable for both stream job Determine a better package name for the following packages once we have a common model that applies to both stream job ,XD-2002,
"In from a http site and place it in lib xd. from the distribution, the CI tests could not start the XD instances on EC2 without it. It was suggested that we use the postgresql instead, but decided to continue the use of mysql for acceptance tests.",XD-2003,
"Acceptance test must be able to handle log names with PID suffix Introduced by XD 2006, admin and container logs will have a pid suffix appended to their filename. The acceptance tests will have to identify the PID for the admin server and the container servers deployed in the cluster and then append the pid value to the filename contained in the ",XD-2007,
Verify we meet all requirements to publish to maven central has a list of requirements. This also means that is critical to fix.,XD-2008,
"Cleanup Module Deployer Container s module deployer has some unused code and has listeners.xml which is no longer used. Also, all the extension code is moved to ",XD-2009,
Fix package info.java warnings ,XD-2010,
"Replace xd MongoItemWriter in hdfsmongodb with spring batch MongoItemWriter When hdfsmongodb was written Spring Batch did not have a MongoItemWriter available, so Mark wrote one for XD. The hdfsmongodb module now needs to be use Spring Batches MongoItemWriter.",XD-2011,
Upgrade to Spring Shell 1.1 GA ,XD-2012,
Update twittersearch module for Twitter 1.0 API retirement ,XD-202,
0xData investigate embedding 0xData is a rich JVM based machine learning and scoring engine.,XD-2022,
"Handle random available http port for admin server If the XD admin server lets tomcat chooses random http port by setting PORT or server.port to 0 , the XD config logging and admin server context id still points to port zero as these are set before tomcat assigns the available random port. We also need to persist the admin servers ports into ZK so that this repo can be accessed by the client.",XD-2026,
"Add docs for Creating a job Item Processor should be very brief introduction to this topic, before linking to relevant spring batch documentation.",XD-2027,
Use instead of 3rd party library Spring 4.0 provides a UUID generator used by default in SI that should be used instead of the com.eaoi.uuid library in the xd tuple library,XD-2029,
Provided modules should be integration tested I don t see that we have automated tests for the modules we provide out of the box. We could make the modules folder an Eclipse project which would also help solve XD 198 and add some integration tests similar to those documented here ,XD-203,
Create JDK6 CI build Maybe only have it run after the publish build instead of triggering builds directly from jdk6 7 8.,XD-2036,
Document processor modules Fill in ,XD-204,
Update XD EC2 Acceptance Test Configs to use 1.0.1 repo Update XD EC2 configs to Pull from 1.0.1 Repo Update XD EC2 Configs to use dir Update test configs XD HOME to instead of ,XD-2042,
"Add SFTP source As a user, I'd like to have the option to use the SFTP source module so that I can access, transfer, and mange files over any reliable data streams. Reference Spring Integration SFTP Adapter Need to consider the infrastructure for testing.",XD-2044,
Investigate long running tests The goal is to optimize the build process and at the same time validate the feature capabilities as quickly as we can. Investigate the long running tests. Look for long timeout window declarations. ,XD-2058,
"Add JDBC source As an user, I'd like to have a native JDBC source module to ingest data directly from various databases. ",XD-2060,
"Add Redis sink As an user, I'd like to have the ability to ingest data into Redis sink.",XD-2061,
"Investigate setting up performance test environment on cloud providers Use a baseline DIRT infrastructure to measure throughput, HA and scalability for various payload sizes. Depends on testing infrastructure setup, configuration and availability.",XD-2063,
"Tests sporadically fail when checking send counts with rabbit as transport Tests that use verifySendCounts to validate whether data was sent to all the modules in a stream occasionally fail. This is because, sometimes it takes 2 or more sends to get the data transmitted between modules. With the current test structure this is considered a failure. Is this the correct behavior?",XD-2066,
"Provide a way to debug the http source The http source does not provide debug logging to see information such as http headers and requests, in particular if a non OK response is returned. I updated the log4j config for org.jboss.netty but it had no effect. I suspect this is due to the need to configure the netty logging system via ",XD-2069,
Provide configurable properties for hdfs sink. The config file has a hardcoded value to locate the namenode. hdp configuration the fs.default.name proprety should be configurable and we should also support loading an external configuration file using hdp configuration ,XD-207,
Create a Sink and Source for Riak ,XD-2073,
Add a Retry Dead Letter Interceptor to the RabbitMQ Source Provide for retry and or dead lettering for the rabbit source similar to the rabbit message bus .,XD-2079,
Document the file sink ,XD-208,
"Spring XD EC2 needs to setup cluster that uses static resources. h1. Summary User wants the ability to deploy an ec2 cluster where the admin containers use a pre existing ZK ensemble, Rabbit and redis instance that are deployed on different machines. ",XD-2084,
Test Recommended XD Cluster Strategy on slow bad network h1. Run Acceptance tests on the following deployments. ,XD-2085,
"Create or document existing project template for custom module creation The wiki docs on creating custom modules have entire build.gradle files in them. Would be good to explore existing STS templates, maven archetypes, etc or create new ones for authoring custom modules.",XD-209,
"Custom module packaging strategy As a user, I'd like to have guidance to create custom modules so that I can align the development practices with recommended approach. 11 20 Update Scope of this task is to create an example to demonstrate and document the capability.",XD-2090,
Research approach to bootstrap custom modules Design Spike Investigate various approaches to bootstrap custom modules. Can Spring Boot be leveraged? Starter POM?,XD-2091,
"List Streams Jobs based with deployed modules Currently, there is a stream list job list which shows the status of a given stream job along with the DSL. and, there is runtime modules which shows all the deployed modules with their container info. We need a better REST endpoint that gives all the deployed modules for a given stream job along with the status.",XD-2093,
UI Cluster view of a container We need a visual representation of the XD cluster with runtime container and deployed modules.,XD-2094,
"UI Ability to deploy stream with deployment properties Admin UI currently allows job to be deployed with deployment properties, we need similar way to deploy stream with the deployment properties module count, container matching criteria .",XD-2095,
"UI Visual representation of Stream Job with deployed modules For a given stream job, we need a visual representation of the stream job with any deployed modules.",XD-2096,
"Enable shutdown containers from admin server When the container starts up, it has a random http port for management configurations. If the container has management port enabled, then we can store it as container attribute. If the admin can reach out to the container on that port, then we can provide an option to shutdown container from the admin server.",XD-2097,
"Implement KafkaMessageBus Kafka lends itself well as a message bus, and kafka partitioning maps to MB partitioning. Implement KafkaMessageBus and supporting classes and UT IT.",XD-2098,
"If output directory does not exist for a file sink, by default allow it to be created There shouldn t be a need to do a mkdir p before sending data to a file sink.",XD-210,
"Add Kafka sink As a user, I'd like to have the option to write into Kafka sink so that I can publish mass data into Kafka broker.",XD-2103,
"MessageBus should see custom SpEL property accessors Currently, custom SI property accessors are registered by a plugin and are not visible by the bus. I believe they should be. This may just be a matter of moving them around.",XD-2105,
"Allow aggregate counter to increment by some value of the message Currently, the aggregate counter only adds 1 to the individual values, even though support is there to add any increment. This ticket is about surfacing a SpEL expression on the message to choose the increment",XD-2107,
Document the log sink ,XD-211,
XD EC2 needs to provide ability to use a preinstalled zip vs downloading from s3 Currently XD EC2 downloads an XD zip file from the location specified by the xd dist url after verifying that the file is accessible.. ,XD-2110,
User wants to select the ec2 zone when deploying XD Currently the application allows AWS select which zone in the region to create an instance.,XD-2112,
Create a shell command processor and sink Create processor and sink modules that can execute a shell command using stdin and stdout to stream data.,XD-2118,
"Provide file based storage for users, groups and roles As a user, I'd like to have the option to provide file based security configurations so that I can access the endpoints in a secured manner. Ideally, all the listed endpoints needs to be encapsulated within file based security layer. Reference Securing Web App ",XD-2120,
"Secure all endpoints using LDAP based security configurations As a user, I'd like to have the option to provide LDAP based security configurations so that I can access the endpoints in a secured manner. Ideally, all the listed endpoints needs to be encapsulated within LDAP based security layer. Reference Authentication using LDAP ",XD-2121,
"Secure endpoints using either ROLE VIEWER and ROLE ADMIN As a user, I'd like to have the option to configure default access control for endpoints so that I can grant access by Admin or Viewer roles.",XD-2122,
"Provide kerberos support for HDFS sink As a user, I'd like to have the option of kerberized HDFS sink so that I can leverage Kerberos open source distributed authentication system for secured data writes into Hadoop.",XD-2123,
"Research integration options for Sqoop tasklet As a user, I'd like to have the ability to mass ingest data from various database systems so that I m not restricted with the current approach jdbchdfs that is dependent on JDBC drivers. Spike Scope Identify integration options Collaborate to determine the design Document outcome design specs ",XD-2124,
Temporarily add toString Logic in Local Mode Inter Module Comms ,XD-213,
"Add Cassandra sink As a user, I'd like to have the option of Cassandra sink, so I can leverage the NoSQL database to write high volumes of variable data segments in high velocity.",XD-2130,
Create documentation on the general DSL syntax The asciidoc wiki should have a section included in the Sidebar.asciidoc as well that describes the general usage of the DSL syntax.,XD-214,
"Deployment properties should use label instead of name stream create foo definition label bar xxxx stream deploy foo properties seems to work but it does not. The pre validation is correct, but downstream, deployment logic still looks for module.bar instead of module.label ",XD-2140,
"Support Spring Boot s single user security configurations As a user, I'd like to have the option to provide single user security configurations so that I can override them as needed. Reference Spring Boot Security Scope Configurations can be provided through servers.yml file.",XD-2144,
"XD Shell needs to be be able to authenticate using basic auth to admin server As a user, I want to be able to provide security credentials to the XD Shell so that I can interact with an xd admin server that is secured via basic auth Technical implementation Add password and username to the admin config command. ",XD-2145,
"Upgrade to spring boot 1.1.7.SNAPSHOT As a user, I'd like to have latest Spring Boot snapshot pulled as a dependency so that I can inherit and implement the OOTB security features.",XD-2146,
"Upgrade to spring boot 1.1.7.RELEASE As a user, I'd like to have latest Spring Boot RELEASE pulled as a dependency so that I can inherit and implement the OOTB security features.",XD-2147,
"Add authentication information to twittersearch source doc Since the changes for XD 202, twittersearch requires authentication. Need to update the docs to reflect this.",XD-215,
"Research REST endpoint approach to push custom module As a user, I'd like to have a REST API to point and push an archive that includes custom module definitions and configurations so that I don t have to manually move and set it up. Scope of this spike Assess customer requirement, brainstorm, and document options Socialize with the team to collect feedback Identify phases Create new stories",XD-2154,
UI Add Tooltip Directive Small follow up story to XD 2094 to improve tooltip handling.,XD-2155,
"Provide Docker image for developers As a user, I need a sandbox Docker Image so that I can get started to experiment XD deployment with the following setup Ubuntu OS Full XD Jar Java 7.x Redis RabbitMQ",XD-2158,
Add support for tap foo.bar syntax in the DSL ,XD-216,
"Research the approach for XD Runtime on Mesos As a user, I need a document covering our recommendations for deploying a XD cluster using Mesos with the Marathon Framework. ",XD-2166,
"Evaluate Spring Boot dependency upgrade As a user, I'd like to evaluate Spring Boot dependency upgrades so that I can make sure there aren t any side effects or impacts to existing functionalities. ",XD-2169,
"Add config dir to classpath to support custom The transform, filter, and script processor modules support passing in a for script variables. We need a default location on the classpath for users to provide custom properties files.",XD-217,
Add support for Pivotal HD 2.1 XD 1.0.2 Release XD 1.0.2 Release PHD 2.1 Upgrade Action Items Update to SHDP 2.0.3 Add Hadoop 2.5 hadoop25 Change PHD 2.x from phd20 to phd21 Test PHD 2.0 with phd21 Document that both PHD 2.1 and PHD 2.0 is supported with phd21 ,XD-2177,
"Add remote partitioning on jdbchdfs job As a user, I'd like to have the option to supply data partitioning strategy so that I can parallelize ingest of data from RDBMS to HDFS.",XD-2178,
Add support to load a twitter.properties file in the source ,XD-218,
"Expose property to change commit interval As a user, I'd like to override the default commit interval so that I can configure commit interval depending on data volume. Note This would apply for all OOTB jobs that has partition support. The property could be part of servers.yml file.",XD-2180,
"Document how to enable SSL and Basic authentication As a user, I want to know my configuration options are for enabling SSL HTTPS and Basic authentication for administration endpoints, so that I can secure my application.",XD-2181,
"Fix REST endpoint with security enabled Once the container s management server is secured, the admin server needs to know which REST template to use to get the message rates from the deployed modules inside the containers.",XD-2184,
Surpress tap WARNING message in local mode ,XD-219,
Fix failing script integration test See ,XD-2192,
Add twitter oauth properties file to config dir Those property keys should then be provided as defaults for the placeholders in ,XD-220,
"Add Python processor As a user, I'd like to have a Python processor so that I can efficiently perform data computations and statistical analysis. Investigate the right approach native or via stdin stdout that fits Spring XD model. Integrate Java and Python ",XD-2205,
"Add acceptance test to extract and assert payload from JSON object To enrich the acceptance test, I'd like to evaluate JSON object to extract Good and Bad instead of just relying on a basic filter test to assert the payload content. ",XD-2208,
"Add acceptance test to include Gemfire use case To enrich acceptance test, I'd like to have basic coverage to evaluate Gemfire use cases. An example would be to ingest data from HTTP source and write it to Gemfire server.",XD-2209,
"Enhance JDBC sink test to include more options To enrich acceptance test, I'd like to add coverage to JDBC sink by including driverclass and url options.",XD-2210,
"Exclude DB initialization for JDBC sink test To enrich acceptance test, I'd like to lazy initialize DB for JDBC Sink acceptance tests. Check to see if it is already initialized and decide. ",XD-2211,
"Add acceptance tests for FieldValueCounts and AggregateCounts To enrich acceptance tests, I'd like to have test coverage to evaluate FieldValueCounts and AggregateCounts for a given scenario.",XD-2212,
"Add stress test To enrich acceptance test coverage, I'd like to have stress test scenario that includes ingesting data from HTTP and then writing it to Log sink.",XD-2213,
"Upgrade to Spring 4.1.2, SI 4.1.0, SA 1.4.0 As a user, I'd like to have Spring Core upgraded to 4.1.1 milestone so that I can benefit from performance improvements associated with compiled SpEL and other enhancements. ",XD-2216,
Add docs for Deleting a simple stream. curl X DELETE ,XD-222,
REST Make the Configurations REST endpoint pagination aware Add pagination for Related to XD 1864,XD-2224,
REST Make the Job Execution REST endpoint pagination aware Implement pagination for ,XD-2225,
"Add support for configurable ZK namespace As a user, I'd like to have the flexibility to change the namespace so that I can isolate ZK metadata based on each tenant profile. ",XD-2226,
"Remove logging of password in Shell As a user, I'd like to type the username and password to gain access to Admin server so that I don t have to add it in some file; hence I don t have to worry about having the password getting logged somewhere.",XD-2228,
"Update Creating a Custom Source Module doc with a different SI adapter due to Twitter issues uses the SI twittersearch inbound channel adapter, which is no longer going to work once Twitter disallows anonymous searches. Ideally we update the example to use a new version of SI twitter that adds support for this as opposed to the XD workaround. ",XD-223,
Provide Python module to handle I O for implementing a Python shell processor ,XD-2237,
"field value counter should support nested fieldNames for example, when using the twittersearch source module, the hashTags are nested within entities , and the value for hashTags is itself an object with a text field, so the following would be needed to count the actual value of interest tap tweets ",XD-225,
Baseline tcp measurements DB 1 Using the iperf tool find out the transfer rate in MB sec between three machines in a four machine configuration.,XD-2253,
"Vary message size DB 2 Use a single producer, single consumer, prefetch size 50. Send 1M messages and increase or decrease so that a given test iteration takes about 2 minutes. Vary the message size and measure the msg sec rate and calculate data transfer rate in MB sec. Message Sizes 100 bytes 1000 10,000 100,000 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2254,
"Vary prefetch size DB 3 Use a single producer, single consumer, message size of 1000 bytes. Send 1M messages and increase or decrease so that a given test iteration takes about 2 minutes. Vary the prefetch size. Measure the msg sec rate and calculate the data transfer rate in MB sec. Prefetch Sizes 1 10 50 100 10000 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2255,
"Vary producers size DB 5 Use the number of consumers gave a maximum throughput in the previous test say 10 consumers , message size 100 bytes, Prefetch 100. Send 1M messages Vary the number of producers. Measure the msg sec rate and calculate the data transfer rate in MB sec. Number of producers 2 4 6 10 50 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2257,
Research adding support for to configure Modules Please refer to the GH Issue reported here ,XD-2258,
Infrastructure for RabbitMQ Cluster DB Pre requisite for Rabbit MQ Benchmarks Infrastructure setup Configuration changes Tool chain setup,XD-2259,
Infrastructure for RabbitMQ Cluster ECB Pre requisite for Rabbit MQ Benchmarks Infrastructure setup Configuration changes Tool chain setup IPerf,XD-2264,
"Vary producers size ECB 5 Use the number of consumers gave a maximum throughput in the previous test say 10 consumers , message size 100 bytes, Prefetch 100. Send 1M messages Vary the number of producers. Measure the msg sec rate and calculate the data transfer rate in MB sec. Number of producers 2 4 6 10 50 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2266,
"Create a maintenance branch As a developer, I'd like to have a maintenance branch so that I can commit MINOR release ex 1.0.2 code changes instead of committing to MASTER.",XD-2268,
Remove deprecated functions As a follow up action from module registry refactoring we would have to clean up deprecated functions ex download of module definitions within our codebase. It may also be necessary to clean up Shell and Admin UI modules. ,XD-2269,
Add s so they will be on the XD classpath This is needed for the use of the scheme to talk to HDFS over http.,XD-227,
"Upgrade to Spring Boot 1.2.0 As to prepare for 1.1 release, we would like to upgrade to Spring Boot 1.2.0 RC1 depends on Spring 4.1.2 so that we can leverage the new features, enhancement and bug fixes. Spring Boot Milestones ",XD-2270,
"Upgrade to Spring Integration 4.1.0 As to prepare for 1.1 release, we would like to upgrade to Spring Integration 4.1.0 RC so that we can leverage the new features, enhancement and bug fixes. ",XD-2271,
"Vary message size EC DB 2 Use a single producer, single consumer, prefetch size 50. Send 1M messages and increase or decrease so that a given test iteration takes about 2 minutes. Vary the message size and measure the msg sec rate and calculate data transfer rate in MB sec. Message Sizes 100 bytes 1000 10,000 100,000 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2276,
"Vary prefecth size EC DB 3 Use a single producer, single consumer, message size of 1000 bytes. Send 1M messages and increase or decrease so that a given test iteration takes about 2 minutes. Vary the prefetch size. Measure the msg sec rate and calculate the data transfer rate in MB sec. Prefetch Sizes 1 10 50 100 10000 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2277,
"Vary producer size EC DB 5 Use the number of consumers gave a maximum throughput in the previous test say 10 consumers , message size 100 bytes, Prefetch 100. Send 1M messages Vary the number of producers. Measure the msg sec rate and calculate the data transfer rate in MB sec. Number of producers 2 4 6 10 50 During the measurements look at the RabbitMQ Admin UI and see if the queue is backing up.",XD-2280,
Vary queue number on 32 core machine ECB 8 Rerun test XD 2278 on a EC2 32 core machine and see when we max out.,XD-2283,
"Simple OOTB job for testing Similar to , we should ship a simple batch job that appends a timestamp to a file. This will make it much easier to validate job functionality, especially in automated tests.",XD-2286,
Add RabbitMQ based implementation of ChannelRegistry ,XD-229,
"Add config parameter to enable disable message rates in cluster view As a user, I'd like to have a config parameter preferably in servers.yml file so that I can enable disable message rates in the cluster view. ",XD-2296,
"Review POC and identify scope for gpload as OOTB Batch Job As a user, I'd like to mass ingest data from databases and others into so that I don t have to write custom code and as well as be able to ingest in an efficient way.",XD-2298,
Placeholder for 1.0.2 and 1.1M1 release testing effort ,XD-2299,
add file source and sink modules ,XD-23,
"Add RabbitMQ source module configurable parameters should include the queue name s and optional binding key pattern connection info, such as host and port, should also be configurable but with defaults localhost and default port , and that should likely fallback to a rabbit.properties file in the XD HOME config directory",XD-230,
Research Spark integration options Spike scope Brainstorm Identify options Document ,XD-2301,
UI Update AngularJS to v1.3 ,XD-2302,
"Research refactoring effort for Kafka source to use simple consumer instead of high level API As a user, I'd like to use Kafka source through simple consumer API as opposed to high level so that I can gain full control to offsets and partition assignment deterministically. Spike scope Study simple consumer API functionality Document findings, approach and next steps",XD-2304,
Add via a REST API so that I can install the custom module in cluster. ,XD-2306,
"Add support for PHD 2.1 XD 1.1 M1 Release XD 1.1 M1 Release PHD 2.1 Upgrade Action Items Update to SHDP 2.1.M2, Add Hadoop 2.5 hadoop25 Remove hadoop22 Remove PHD 1.0 phd1 Change PHD 2.x from phd20 to phd21 Test PHD 2.0 with phd21",XD-2307,
"Create sample app to demonstrate Kafka integration As a user, I'd like to have a sample app GitHub project so that I can use it as a reference while provisioning Spring XD cluster with Kafka. Consider Kafka as message bus Kafka as source ",XD-2308,
"Add Twitter gardenhose source module we have a prototype gardenhose adapter that was built directly upon RestTemplate streaming on a background thread , but Spring Social Twitter has an issue on its 1.1 roadmap that is relevant ",XD-231,
UI Add support for stoppable notifications Update Angular Growl to v2 Allowing for stoppable notifications in case you want to see it for longer than 5 secs ,XD-2315,
Add Greenplum Sink User should have the option of Greenplum DB sink so they can write data directly to Greenplum DB via the pgfdist gploader Greenplum bulk loader . The existing JDBC sinks are not suitable for high volume loads. The JDBC approach utilizes the master segment of Greenplum for loading datasets instead of the bulk loader utility.,XD-2317,
"Create Boot Starters for Modules Create various boot starter projects for module developers. This should include templates for source, processor, sink, and job and ideally different options for each. For example, a processor configured with XML, SI Java DSL, or SI Java DSL with lambdas. ",XD-2318,
Add spring xd python to the distribution ,XD-2319,
UI Create a dedicated Launch Page for Jobs Create a dedicated Launch Page for Jobs. Currently we create a launch form underneath the deployments table. That is a bit unwieldy when many deployed jobs are shown in the table.,XD-2320,
UI Create a dedicated scheduling page for Jobs Create a dedicated Scheduling Page for Jobs. Currently we create a form underneath the deployments table. That is a bit unwieldy when many deployed jobs are shown in the table. Similar to XD 2320,XD-2321,
"Set auto startup to false in Kafka source We have to explicitly set it to false, in order to avoid an early start of the poller and the associated ",XD-2325,
Update Hadoop in CI machines Placeholder to update to Apache 2.5.1 on CI machines. Next steps It looks like the still file has 2.2.0; update it to 2.5.1 I guess we just bumped the spring data hadoop dependency; check for relevant other dependencies ,XD-2329,
"Zip created by Publish 1.1 only contains the shell. XD, gemfire, directories in the zip file are missing.",XD-2330,
AdminUI Provide Server Side Cron Expression Validation It is easy to get a cron expression wrong. Provide validation of the cron expression on the Schedule Job page using async validation. Submit the cron expression to the server side and validate that the expression is valid. Send a success message back we may even send back some meta data e.g. when is the next execution going to take place ,XD-2332,
"Add test coverage for Kafka source and sink modules As a PM, I'd like to have test coverage for both Kafka source and sink modules so that we can assert its functionality as part of the CI builds. ",XD-2333,
Update Performance AMI to include Kafka Create an AMI that will contain the Kafka Executable as well as the Kafka performance test tools.,XD-2335,
"Upgrade to Gradle 2.2 Looks like upgrade to Gradle 2.2 is not a simple version change, e.g. I see FAILURE Build failed with an exception. Where Build file line 219 What went wrong A problem occurred evaluating root project spring xd . Could not find method for arguments project on root project spring xd . ",XD-2338,
"Remove external config properties for modules There are some modules that use external config properties kafka producer consumer, hadoop properties etc., . We need to avoid using such properties and have them configured inside module so that module and its properties are self contained. ",XD-2339,
Ensure that branch specific documentation is pulled and generated ,XD-2340,
"Document 1.1 major features As a user, I'd like to refer to documentation in wiki so that I can configure the new sources, sinks and processor modules and as well as any new features. ",XD-2346,
POM generation creates the correct dependency list We are referencing Spring.IO deps when we shouldn t since we moved to a different version of boot than in in the platform .,XD-2351,
"Property replacement does not happen in XML class attribute After updating to Boot 1.2 RC1 the following replacement doesn t work. bean class which appears in the rabbit source and sink. Feels like a core spring thing, but that was updated earlier. Current workaround that was commited already so the build can pass is bean id clazz constructor arg value bean bean ",XD-2352,
"EC2 Integration Tests fail after Boot 1.2 upgrade Many of the tests fail with Cannot find template location class path resource please add some templates, check your Groovy configuration, or set Somehow we need to disable this check, using the property suggested.",XD-2354,
Create an Aggregate Counter An aggregate counter rolls up counts into discrete time buckets. There is an existing POC implementation in Java based off the library The README there has a good description of the desired feature set.,XD-236,
"Pre allocate partitions for Kafka source As a user, I want Spring XD to pre allocate a set of partitions between the Kafka source modules when a stream is deployed, so that deployment is simpler, and rebalancing doesn t take place. ",XD-2360,
"Pre allocate partitions for Kafka message bus As a user, I want Spring XD s message bus to be able to pre allocate partitions between nodes when a stream is deployed, so that rebalancing doesn t happen when a container crashes and or it s redeployed.",XD-2361,
